rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
87,q_learning_085,q_learning,20000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.10188,-0.10243727456787476,-0.10132272543212524,0.416866,0.18268838470003174
88,monte_carlo_015,monte_carlo,20000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.101891,-0.10227151212484696,-0.10151048787515303,0.416909,0.30885600800002067
89,q_learning_070,q_learning,20000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101901,-0.1024543964733454,-0.10134760352665462,0.416862,0.20485527189994174
90,q_learning_075,q_learning,20000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.101901,-0.1024543964733454,-0.10134760352665462,0.416862,0.18074787649993596
91,sarsa_040,sarsa,20000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.101926,-0.10249785292965548,-0.10135414707034453,0.416842,0.19079853720004394
92,sarsa_045,sarsa,20000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.101926,-0.10249785292965548,-0.10135414707034453,0.416842,0.1836320436999813
93,monte_carlo_000,monte_carlo,20000,"epsilon=0.2, gamma=1.0",10,-0.101936,-0.10227698993246787,-0.10159501006753213,0.416853,0.20845902999999452
94,monte_carlo_013,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.10194,-0.10233250056928479,-0.10154749943071521,0.41681,2.9209643823000078
95,monte_carlo_001,monte_carlo,50000,"epsilon=0.2, gamma=1.0",10,-0.101941,-0.10237059784170781,-0.1015114021582922,0.416816,0.5157000026999412
96,sarsa_030,sarsa,20000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.10194500000000001,-0.10251317654611534,-0.10137682345388467,0.41684,0.21174307410001347
97,sarsa_035,sarsa,20000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.10194500000000001,-0.10251317654611534,-0.10137682345388467,0.41684,0.1857881293000446
98,monte_carlo_010,monte_carlo,20000,"epsilon=0.3, gamma=1.0",10,-0.101988,-0.1023609818145105,-0.10161501818548949,0.416841,0.33293490690011823
99,monte_carlo_005,monte_carlo,20000,"epsilon=0.25, gamma=1.0",10,-0.101998,-0.10232444184263391,-0.1016715581573661,0.416818,0.3560804280999491
100,monte_carlo_006,monte_carlo,50000,"epsilon=0.25, gamma=1.0",10,-0.10203,-0.10243666523278436,-0.10162333476721563,0.41677,0.6387331245000496
